Timestamp(UTC),Open,High,Low,Close

2022-08-02 09:10:00,22826.56,22840.04,22811.66,22838.38
2022-08-02 09:15:00,22844.17,22851.18,22828.96,22846.19
2022-08-02 09:20:00,22841.78,22841.78,22686.12,22691.87
2022-08-02 09:25:00,22709.96,22753.81,22704.54,22745.65
2022-08-02 09:30:00,22753.18,22754.86,22665.98,22701.63
2022-08-02 09:35:00,22691.04,22724.38,22689.91,22709.41
2022-08-02 09:40:00,22711.74,22724.18,22683.81,22687.71
2022-08-02 09:45:00,22686.47,22744.52,22674.64,22744.52
2022-08-02 09:50:00,22740.27,22755.46,22709.87,22720.65
2022-08-02 09:55:00,22720.83,22743,22687.09,22729.66
