Timestamp,Open,High,Low,Close

2022-08-02 03:10:00,23062.55,23076.32,22993.51,23025.94
2022-08-02 03:15:00,23014.50,23028.78,23000.86,23019.44
2022-08-02 03:20:00,23015.84,23036.94,23010.04,23036.62
2022-08-02 03:25:00,23036.94,23036.94,23004.53,23035.69

2022-08-02 03:30:00,23027.68,23064.17,22984.83,22984.83
2022-08-02 03:35:00,22970.66,23029.76,22962.69,22962.69
2022-08-02 03:40:00,22962.69,22990.22,22936.31,22968.85
2022-08-02 03:45:00,22984.59,23044.71,22974.17,23016.68
2022-08-02 03:50:00,23009.36,23015.44,22987.84,23015.24
2022-08-02 03:55:00,23014.64,23025.00,22983.41,23005.53
2022-08-02 04:0:00,22999.03,23075.36,22999.03,23063.34
2022-08-02 04:5:00,23066.11,23102.83,23060.04,23093.86
2022-08-02 04:10:00,23093.00,23105.63,23077.47,23093.01
